Bedrooms,Bathrooms,SquareFootageHouse,Location,Age,PoolQuality,HasPhotovoltaics,HeatingType,HasFiberglass,IsFurnished,DateSinceForSale,HouseColor,PreviousOwnerName,HasFireplace,KitchensQuality,BathroomsQuality,BedroomsQuality,LivingRoomsQuality,SquareFootageGarden,PreviousOwnerRating,HeatingCosts,WindowModelNames,Price
1.0,2.0,127.0,Rural,69.0,Good,False,Electric,True,True,2023-09-25,Yellow,Martin,False,Good,Good,Good,Good,16.0,1.33,,M3VPE Wood LQRCLH,346.57594
3.0,3.0,129.0,Rural,65.0,,True,Oil Heating,False,False,2022-09-22,Gray,,False,Poor,Good,Excellent,Poor,16.0,1.52,,E5BJG Steel BVYWGBZ Window,429.91007
1.0,2.0,99.0,Urban,43.0,Excellent,False,Electric,True,True,2022-05-01,White,Stefan,False,Good,Good,Excellent,Poor,46.0,2.49,59.4,Aluminum 263R,243.80271
2.0,,126.0,Rural,35.0,,False,Oil Heating,False,False,2020-12-10,White,Daniel,False,Good,Good,Good,Good,6.0,1.44,201.6,Steel 3K90,378.22772
1.0,3.0,101.0,Rural,54.0,,,Electricity,False,True,2022-09-24,Gray,,False,Excellent,Poor,Poor,Good,6.0,1.88,60.0,U6Y6P Wood BJ7 Window,249.67852
,2.0,81.0,Urban,58.0,,,Electricity,False,False,2022-05-14,Gray,Natalie,False,Good,Excellent,Good,Good,6.0,2.87,,C7YQ245 Steel XAG5O8L Window,185.29771
1.0,,45.0,Suburbann,,Excellent,False,Oil Heating,False,True,2021-06-23,Yellow,,False,Good,Excellent,Excellent,Good,46.0,4.63,72.0,QL2AQEB Aluminum 4UV,121.05968
1.0,1.0,23.0,Suburbann,13.0,None,False,Oil,False,True,2020-09-10,Green,,False,Good,Good,Excellent,Excellent,6.0,2.47,,Steel J3O9V Window,108.5784
2.0,,95.0,Urban,,,True,Oil Heating,True,False,2023-12-27,Gray,,False,Excellent,Good,Good,Excellent,6.0,1.91,152.0,Wood DZDS Window,217.37796
2.0,2.0,96.0,Rural,58.0,Good,False,Gas,False,False,2023-06-06,Yellow,Stefan,False,Good,Excellent,Poor,Good,16.0,3.91,97.0,A2R5X3A Aluminum A5DB5 Window,215.25902
,1.0,46.0,Rural,,None,,Oil Heating,False,False,2020-04-02,Gray,Stefan,False,Excellent,Good,Good,Excellent,6.0,2.5,,0VBDW95 Steel WJQ,227.02029
2.0,,130.0,Suburbann,66.0,None,,Oil Heating,False,True,2022-11-09,Gray,,False,Good,Excellent,Good,Excellent,6.0,2.54,,Steel GLB1I,206.37084
1.0,1.0,91.0,Suburban,38.0,Excellent,True,Electric,False,False,2020-12-24,Green,Lukas,False,Good,Good,Poor,Excellent,46.0,1.66,52.8,N5LOP Steel LFDFX Window,155.24395
1.0,,28.0,Rural,66.0,Good,False,Gas,False,True,2021-12-11,Gray,,False,Good,Excellent,Good,Good,16.0,2.29,28.0,Wood LKOD,202.40956
1.0,1.0,49.0,Urban,50.0,Good,True,Electric,True,True,2022-01-23,White,,False,Poor,Good,Poor,Good,16.0,2.34,30.6,Aluminum CE36MO Window,107.6489
3.0,,143.0,Urban,32.0,Good,False,Oil Heating,False,True,2021-06-14,Yellow,,True,Excellent,Good,Poor,Poor,16.0,4.53,232.0,5U0C Wood DQXC3 Window,342.18513
1.0,1.0,36.0,Suburban,54.0,Poor,,Oil Heating,False,True,2021-05-13,Gray,,False,Good,Poor,Excellent,Good,14.0,1.84,56.0,SK20P Aluminum RH403FJ Window,60.4763
2.0,3.0,108.0,Rural,,Good,False,Gas,True,True,2021-09-01,White,Daniel,False,Poor,Good,Poor,Excellent,16.0,2.24,106.0,Wood T9LPW Window,339.70145
2.0,,134.0,Suburban,43.0,,False,Oil Heating,False,False,2021-05-19,Gray,,False,Good,Good,Poor,Poor,6.0,2.95,214.4,VTLUI1 Aluminum O33LP5U Window,114.95402
1.0,,83.0,Suburban,61.0,Good,True,Electric,False,True,2023-07-28,White,,False,Excellent,Excellent,Poor,Good,16.0,3.18,,Steel MC2R03,149.80814
3.0,3.0,102.0,Urban,43.0,,False,Oil,False,True,2023-04-07,Green,Johanna,False,Good,Good,Excellent,Poor,6.0,2.91,160.0,766CX0 Wood OG6FUIG Window,258.41631
4.0,1.0,145.0,Urban,45.0,None,True,Electricity,False,True,2022-11-06,White,,False,Poor,Good,Poor,Excellent,6.0,3.42,88.2,MQQC Steel 4ZRJL Window,282.32557
1.0,,87.0,Rural,,,False,Electric,True,False,2023-04-26,Gray,,False,Poor,Excellent,Poor,Good,6.0,1.43,51.6,Wood 3I3 Window,186.03936
1.0,2.0,83.0,Suburbann,38.0,Poor,False,Oil Heating,False,False,2021-09-12,Gray,Roman,False,Good,Good,Good,Good,14.0,2.65,,Steel QYDA Window,141.41595
3.0,,104.0,Urban,,Good,,Electricity,True,True,2020-06-30,Green,,False,Excellent,Good,Good,Excellent,16.0,2.58,63.0,Aluminum 2SQCB,172.1346
4.0,3.0,141.0,Urban,47.0,,False,Oil,True,True,2023-05-02,Yellow,,False,Excellent,Excellent,Good,Good,6.0,4.61,230.4,2YH8ZQ Aluminum GEK0DZC,299.86176
1.0,1.0,47.0,Urban,,None,False,Oil Heating,True,False,2023-04-24,Yellow,Laura,False,Good,Excellent,Good,Poor,6.0,4.81,76.8,Wood 766KAGX Window,2706.4683999999997
2.0,,64.0,Rural,69.0,Poor,False,Electric,False,True,2022-12-19,Yellow,Florian,False,Good,Good,Excellent,Excellent,14.0,2.34,,24F Steel ZIHI8Q3,324.69779
1.0,1.0,77.0,Urban,39.0,Good,,Electric,False,True,2020-03-04,,Sabrina,False,Good,Excellent,Excellent,Good,16.0,3.66,,Steel HCR Window,235.67158
2.0,1.0,69.0,Urban,44.0,None,False,Gas,False,True,2023-09-29,Yellow,Natalie,False,Good,Poor,Excellent,Excellent,6.0,2.14,,Aluminum 8R9NN,127.65216
