Bedrooms,Bathrooms,SquareFootageHouse,Location_Rural,Location_Suburban,Location_Urban,Age,PoolQuality,HeatingType_Electricity,HeatingType_Gas,HeatingType_Oil,HasFiberglass,IsFurnished,DateSinceForSale,HouseColor_Gray,HouseColor_Green,HouseColor_White,HouseColor_Yellow,HasFireplace,KitchensQuality,BathroomsQuality,BedroomsQuality,LivingRoomsQuality,SquareFootageGarden,PreviousOwnerRating,HeatingCosts,WindowModelNames_Aluminum,WindowModelNames_Steel,WindowModelNames_Wood,Price
1,2,127.0,1.0,0.0,0.0,69.0,2,1.0,0.0,0.0,1,1,6,0.0,0.0,0.0,1.0,0,2,2,2,2,16,1.33,107.68587671519786,0.0,0.0,1.0,346.57594
3,3,129.0,1.0,0.0,0.0,65.0,2,0.0,0.0,1.0,0,0,18,1.0,0.0,0.0,0.0,0,1,2,3,1,16,1.52,208.39956097525024,0.0,1.0,0.0,429.91007
1,2,99.0,0.0,0.0,1.0,43.0,3,1.0,0.0,0.0,1,1,22,0.0,0.0,1.0,0.0,0,2,2,3,1,46,2.49,59.4,1.0,0.0,0.0,243.80271
2,3,126.0,1.0,0.0,0.0,35.0,0,0.0,0.0,1.0,0,0,39,0.0,0.0,1.0,0.0,0,2,2,2,2,6,1.44,201.6,0.0,1.0,0.0,378.22772
1,3,101.0,1.0,0.0,0.0,54.0,0,1.0,0.0,0.0,0,1,18,1.0,0.0,0.0,0.0,0,3,1,1,2,6,1.88,60.0,0.0,0.0,1.0,249.67852
1,2,81.0,0.0,0.0,1.0,58.0,0,1.0,0.0,0.0,0,0,22,1.0,0.0,0.0,0.0,0,2,3,2,2,6,2.87,63.983144445173515,0.0,1.0,0.0,185.29771
1,1,45.0,0.0,1.0,0.0,46.0,3,0.0,0.0,1.0,0,1,33,0.0,0.0,0.0,1.0,0,2,3,3,2,46,4.63,72.0,1.0,0.0,0.0,121.05968
1,1,23.0,0.0,1.0,0.0,13.0,0,0.0,0.0,1.0,0,1,42,0.0,1.0,0.0,0.0,0,2,2,3,3,6,2.47,38.11364116487742,0.0,1.0,0.0,108.5784
2,1,95.0,0.0,0.0,1.0,38.0,0,0.0,0.0,1.0,1,0,3,1.0,0.0,0.0,0.0,0,3,2,2,3,6,1.91,152.0,0.0,0.0,1.0,217.37796
2,2,96.0,1.0,0.0,0.0,58.0,2,0.0,1.0,0.0,0,0,9,0.0,0.0,0.0,1.0,0,2,3,1,2,16,3.91,97.0,1.0,0.0,0.0,215.25902
1,1,46.0,1.0,0.0,0.0,40.0,0,0.0,0.0,1.0,0,0,47,1.0,0.0,0.0,0.0,0,3,2,2,3,6,2.5,72.44318716307923,0.0,1.0,0.0,227.02029
2,3,130.0,0.0,1.0,0.0,66.0,0,0.0,0.0,1.0,0,1,16,1.0,0.0,0.0,0.0,0,2,3,2,3,6,2.54,207.34149904575446,0.0,1.0,0.0,206.37084
1,1,91.0,0.0,1.0,0.0,38.0,3,1.0,0.0,0.0,0,0,39,0.0,1.0,0.0,0.0,0,2,2,1,3,46,1.66,52.8,0.0,1.0,0.0,155.24395
1,1,28.0,1.0,0.0,0.0,66.0,2,0.0,1.0,0.0,0,1,27,1.0,0.0,0.0,0.0,0,2,3,2,2,16,2.29,28.0,0.0,0.0,1.0,202.40956
1,1,49.0,0.0,0.0,1.0,50.0,2,1.0,0.0,0.0,1,1,26,0.0,0.0,1.0,0.0,0,1,2,1,2,16,2.34,30.6,1.0,0.0,0.0,107.6489
3,5,143.0,0.0,0.0,1.0,32.0,2,0.0,0.0,1.0,0,1,33,0.0,0.0,0.0,1.0,1,3,2,1,1,16,4.53,232.0,0.0,0.0,1.0,342.18513
1,1,36.0,0.0,1.0,0.0,54.0,1,0.0,0.0,1.0,0,1,34,1.0,0.0,0.0,0.0,0,2,1,3,2,14,1.84,56.0,1.0,0.0,0.0,60.4763
2,3,108.0,1.0,0.0,0.0,38.0,2,0.0,1.0,0.0,1,1,30,0.0,0.0,1.0,0.0,0,1,2,1,3,16,2.24,106.0,0.0,0.0,1.0,339.70145
2,4,134.0,0.0,1.0,0.0,43.0,0,0.0,0.0,1.0,0,0,34,1.0,0.0,0.0,0.0,0,2,2,1,1,6,2.95,214.4,1.0,0.0,0.0,114.95402
1,1,83.0,0.0,1.0,0.0,61.0,2,1.0,0.0,0.0,0,1,8,0.0,0.0,1.0,0.0,0,3,3,1,2,16,3.18,64.10309092657941,0.0,1.0,0.0,149.80814
3,3,102.0,0.0,0.0,1.0,43.0,0,0.0,0.0,1.0,0,1,11,0.0,1.0,0.0,0.0,0,2,2,3,1,6,2.91,160.0,0.0,0.0,1.0,258.41631
4,1,145.0,0.0,0.0,1.0,45.0,0,1.0,0.0,0.0,0,1,16,0.0,0.0,1.0,0.0,0,1,2,1,3,6,3.42,88.2,0.0,1.0,0.0,282.32557
1,1,87.0,1.0,0.0,0.0,32.0,0,1.0,0.0,0.0,1,0,11,1.0,0.0,0.0,0.0,0,1,3,1,2,6,1.43,51.6,0.0,0.0,1.0,186.03936
1,2,83.0,0.0,1.0,0.0,38.0,1,0.0,0.0,1.0,0,0,30,1.0,0.0,0.0,0.0,0,2,2,2,2,14,2.65,132.23656162014896,0.0,1.0,0.0,141.41595
3,2,104.0,0.0,0.0,1.0,32.0,2,1.0,0.0,0.0,1,1,45,0.0,1.0,0.0,0.0,0,3,2,2,3,16,2.58,63.0,1.0,0.0,0.0,172.1346
4,3,141.0,0.0,0.0,1.0,47.0,0,0.0,0.0,1.0,1,1,10,0.0,0.0,0.0,1.0,0,3,3,2,2,6,4.61,230.4,1.0,0.0,0.0,299.86176
1,1,47.0,0.0,0.0,1.0,40.0,0,0.0,0.0,1.0,1,0,11,0.0,0.0,0.0,1.0,0,2,3,2,1,6,4.81,76.8,0.0,0.0,1.0,144.80598666666668
2,1,64.0,1.0,0.0,0.0,69.0,1,1.0,0.0,0.0,0,1,15,0.0,0.0,0.0,1.0,0,2,2,3,3,14,2.34,55.688732980107545,0.0,1.0,0.0,324.69779
1,1,77.0,0.0,0.0,1.0,39.0,2,1.0,0.0,0.0,0,1,48,1.0,0.0,0.0,0.0,0,2,3,3,2,16,3.66,62.830525206660354,0.0,1.0,0.0,235.67158
2,1,69.0,0.0,0.0,1.0,44.0,0,0.0,1.0,0.0,0,1,6,0.0,0.0,0.0,1.0,0,2,1,3,3,6,2.14,52.83198540695073,1.0,0.0,0.0,127.65216
1,1,47.0,1.0,0.0,0.0,40.0,0,1.0,0.0,0.0,1,0,11,0.0,1.0,0.0,0.0,0,2,3,3,2,6,2.42,36.25979943759769,1.0,0.0,0.0,119.14781
2,1,98.0,0.0,0.0,1.0,43.0,0,0.0,0.0,1.0,0,0,6,0.0,0.0,0.0,1.0,0,2,2,3,2,6,4.3,156.8,0.0,1.0,0.0,257.16476
2,5,138.0,1.0,0.0,0.0,47.0,0,1.0,0.0,0.0,0,1,3,1.0,0.0,0.0,0.0,0,2,2,2,1,6,2.55,83.4,1.0,0.0,0.0,257.40436
1,1,61.0,1.0,0.0,0.0,48.0,2,0.0,0.0,1.0,1,0,37,0.0,1.0,0.0,0.0,0,2,1,1,2,16,3.65,96.64818658084963,0.0,0.0,1.0,220.08495
2,2,88.0,0.0,0.0,1.0,58.0,0,0.0,0.0,1.0,1,1,15,1.0,0.0,0.0,0.0,0,2,2,3,3,6,1.28,140.0602377411049,1.0,0.0,0.0,198.11572
1,1,83.0,0.0,1.0,0.0,65.0,1,0.0,1.0,0.0,0,1,30,0.0,1.0,0.0,0.0,0,2,1,2,2,14,2.2,83.0,0.0,1.0,0.0,141.99963
1,1,30.0,1.0,0.0,0.0,37.0,0,0.0,1.0,0.0,0,0,18,0.0,0.0,0.0,1.0,0,1,2,2,2,6,3.03,22.40884076314413,1.0,0.0,0.0,61.91122
1,2,86.0,0.0,0.0,1.0,24.0,0,1.0,0.0,0.0,1,0,36,0.0,0.0,0.0,1.0,0,1,1,2,3,6,2.14,52.2,0.0,0.0,1.0,146.47819
2,2,106.0,0.0,0.0,1.0,63.0,0,1.0,0.0,0.0,0,1,6,0.0,0.0,0.0,1.0,0,1,3,3,3,6,3.81,63.0,1.0,0.0,0.0,149.38014
3,3,149.0,0.0,1.0,0.0,50.0,3,0.0,1.0,0.0,0,0,11,0.0,0.0,1.0,0.0,0,1,2,3,1,46,2.23,114.3675059655323,1.0,0.0,0.0,162.61883
2,2,102.0,1.0,0.0,0.0,27.0,2,0.0,1.0,0.0,0,1,4,0.0,0.0,1.0,0.0,0,1,2,2,3,16,1.38,83.545010129258,1.0,0.0,0.0,263.51077
1,2,61.0,1.0,0.0,0.0,52.0,3,1.0,0.0,0.0,1,1,28,0.0,0.0,0.0,1.0,0,2,2,2,2,46,3.04,36.6,0.0,0.0,1.0,357.01552
1,5,143.0,0.0,1.0,0.0,10.0,2,0.0,0.0,1.0,1,1,15,0.0,0.0,0.0,1.0,0,3,3,2,2,16,4.14,228.99190684619717,0.0,1.0,0.0,256.29449
2,3,124.0,1.0,0.0,0.0,37.0,1,1.0,0.0,0.0,0,1,8,0.0,0.0,0.0,1.0,0,3,1,2,3,14,4.52,75.0,1.0,0.0,0.0,273.71422
1,1,46.0,1.0,0.0,0.0,47.0,2,0.0,1.0,0.0,0,1,1,0.0,1.0,0.0,0.0,0,3,2,3,3,16,2.39,44.0,0.0,1.0,0.0,340.31024
1,1,57.0,1.0,0.0,0.0,44.0,0,0.0,0.0,1.0,1,1,17,0.0,0.0,0.0,1.0,0,2,2,2,2,6,4.02,89.6,0.0,0.0,1.0,254.1963
